source_file,is_beta,is_lognormal,num_simulations,network_optimistic,network_pessimistic,network_most_likely,pert_critical,pert_sd,bb2_critical_mean,bb2_critical_sd,bb2_critical_p99,bb2_critical_p10,bb2_critical_p25,lognormal_critical_mean,lognormal_critical_sd,lognormal_critical_p99,lognormal_critical_p10,lognormal_critical_p25,sim_mean,sim_std,sim_min,sim_p10,sim_p25,sim_max,sim_p50,sim_p90,sim_p95,sim_p99,pert_p1,pert_p10,pert_p20,pert_p25,pert_p30,pert_p40,pert_p50,pert_p60,pert_p70,pert_p75,pert_p80,pert_p90,pert_p95,pert_p99,pert_p99_9,bb2_p1,bb2_p10,bb2_p20,bb2_p25,bb2_p30,bb2_p40,bb2_p50,bb2_p60,bb2_p70,bb2_p75,bb2_p80,bb2_p90,bb2_p95,bb2_p99,bb2_p99_9,lognormal_p1,lognormal_p10,lognormal_p20,lognormal_p25,lognormal_p30,lognormal_p40,lognormal_p50,lognormal_p60,lognormal_p70,lognormal_p75,lognormal_p80,lognormal_p90,lognormal_p95,lognormal_p99,lognormal_p99_9,sim_p1,sim_p20,sim_p30,sim_p40,sim_p60,sim_p70,sim_p75,sim_p80,sim_p99_9,SP,TF,AD,LA,simulation_runtime_seconds,distribution,mape_pert,mape_bb2,mape_lognormal,best_method,cluster_id
Set 1 SP_EV108,1,0,10000,15.5,62,31,33.58333333,3.799671038,33.58333333,3.875,42.88065652,28.6425018,30.86696975,33.60762821,5.984445817,51.86138667,26.88032539,29.33690584,33.66923911,3.760539992,22.49880038,28.9275331,31.03988295,46.8571998,33.54268011,38.64556729,40.0556238,42.62199905,17.93490508,22.61578776,25.65254108,26.96484048,28.21072151,30.60343545,32.97528158,35.43834332,38.12592226,39.61784603,41.26800456,45.46723644,48.66786347,53.72393629,57.7022758,25.18598276,28.6425018,30.24104699,30.86696975,31.43690977,32.48320546,33.47846024,34.48754606,35.57915268,36.18762768,36.86759586,38.6631679,40.14332233,42.88065652,45.83002515,23.62948038,26.88032539,28.61201104,29.33690584,30.02197483,31.34625227,32.69299798,34.15420128,35.85530172,36.86309829,38.04415273,41.47458063,44.69768271,51.86138667,62,25.5152906,30.40050104,31.55852246,32.56864727,34.53354829,35.61433184,36.21701227,36.86265988,45.24986107,0.172,0.667,0.5,0.039,0.4433023,beta,14.82273262263563,0.44511275818113893,8.090722281031093,bb2,0
Set 1 SP_EV109,1,0,10000,20.0,80,40,43.33333333,4.257346591,43.33333333,5.0,55.32987939,36.95806683,39.82834806,43.36468157,7.72186557,66.91791828,34.68429082,37.85407205,43.3971298,4.249768064,30.57878554,37.94050616,40.44055013,59.20649222,43.23900782,48.99718533,50.65221238,53.65714298,23.141813,29.18166162,33.10005301,34.79334255,36.40093098,39.4883038,42.54875042,45.72689461,49.1947384,51.11980132,53.24903814,58.66740186,62.79724319,69.32120812,74.45454941,32.49804227,36.95806683,39.02070579,39.82834806,40.56375454,41.91381349,43.19801321,44.50005943,45.9085841,46.69371313,47.57109144,49.88795859,51.79783526,55.32987939,59.13551632,30.4896521,34.68429082,36.91872392,37.85407205,38.73803204,40.44677712,42.18451352,44.06993713,46.26490545,47.56528811,49.08922932,53.51558791,57.67442931,66.91791828,80,34.26986011,39.78373275,41.05541133,42.18560814,44.36048245,45.57474992,46.24433855,46.97924488,56.80862577,0.172,0.533,0.3,0.072,0.5167062,beta,16.30197136099634,1.8466617219613808,9.570365916061998,bb2,0
Set 1 SP_EV11,1,0,10000,13.5,54,27,29.25,3.897114317,29.25,3.375,37.34766859,24.94669511,26.88413494,29.27116006,5.21225926,45.16959484,23.4118963,25.55149863,29.63318442,3.699666685,18.53680546,24.98789685,27.01680732,45.21151371,29.51226773,34.51277435,35.85324947,38.73317396,15.62072378,19.69762159,22.34253578,23.48550622,24.57062841,26.65460507,28.72040653,30.86565386,33.20644842,34.50586589,35.94310075,39.60049625,42.38813916,46.79181548,50.25682085,21.93617853,24.94669511,26.33897641,26.88413494,27.38053431,28.29182411,29.15865892,30.03754012,30.98829427,31.51825636,32.11048672,33.67437205,34.9635388,37.34766859,39.91647351,20.58051517,23.4118963,24.92013865,25.55149863,26.14817163,27.30157456,28.47454662,29.74720757,31.22881118,32.10656948,33.13522979,36.12302184,38.93023978,45.16959484,54,21.65923644,26.45592548,27.54483586,28.57206274,30.47607544,31.52651757,32.109531,32.74658356,41.7387068,0.069,0.278,0.222,0.065,0.4642368,beta,13.05833223921269,1.6623894814763707,6.621536886173974,bb2,0
Set 1 SP_EV110,1,0,10000,21.0,84,42,45.5,4.782781617,45.5,5.25,58.09637336,38.80597018,41.81976546,45.53291564,8.107958849,70.26381419,36.41850536,39.74677565,46.38219771,4.547488423,31.67229823,40.65290581,43.14432369,63.6027159,46.24365373,52.33121562,54.10863975,57.35484071,24.29890365,30.6407447,34.75505566,36.53300968,38.22097753,41.46271899,44.67618794,48.01323934,51.65447531,53.67579139,55.91149005,61.60077195,65.93710535,72.78726853,78.17727689,34.12294439,38.80597018,40.97174108,41.81976546,42.59194227,44.00950417,45.35791387,46.72506241,48.20401331,49.02839879,49.94964601,52.38235652,54.38772702,58.09637336,62.09229213,32.0141347,36.41850536,38.76466012,39.74677565,40.67493365,42.46911598,44.29373919,46.27343399,48.57815072,49.94355252,51.54369079,56.19136731,60.55815077,70.26381419,84,36.56311649,42.44479274,43.76928348,45.04144148,47.40836597,48.70574137,49.44633698,50.28489571,61.13284915,0.172,0.275,0.3,0.174,1.7413644,beta,15.80385411641361,2.1408782501127397,9.451574189671568,bb2,0
Set 1 SP_EV111,1,0,10000,18.5,74,37,40.08333333,4.308421985,40.08333333,4.625,51.18013843,34.18621182,36.84122196,40.11233045,7.142725653,61.89907441,32.08296901,35.01501664,40.25715408,4.156954931,27.36616441,34.98401202,37.27339199,55.99205826,40.15645075,45.72482879,47.39888311,50.42982428,21.40617703,26.993037,30.61754904,32.18384186,33.67086116,36.52668102,39.35759414,42.29737752,45.50513302,47.28581622,49.25536028,54.26734672,58.08744995,64.12211751,68.87045821,30.0606891,34.18621182,36.09415286,36.84122196,37.52147295,38.77027748,39.95816222,41.16255498,42.4654403,43.19168465,44.00325958,46.14636169,47.91299762,51.18013843,54.70035259,28.20292819,32.08296901,34.14981963,35.01501664,35.83267964,37.41326884,39.020675,40.76469185,42.79503754,43.9978915,45.40753713,49.50191882,53.34884711,61.89907441,74,31.31039209,36.62876647,37.91833959,39.05983888,41.23334761,42.34447006,43.02918452,43.718148,53.55686147,0.172,0.492,0.35,0.044,0.5727719,beta,15.586411453715407,1.2192816838949103,8.90878088259812,bb2,0
Set 1 SP_EV112,1,0,10000,21.0,84,42,45.5,4.730221982,45.5,5.25,58.09637336,38.80597018,41.81976546,45.53291564,8.107958849,70.26381419,36.41850536,39.74677565,46.11658514,4.33514363,33.02216845,40.71261184,43.05406354,62.29034426,45.92707543,51.83851859,53.63271868,57.09402864,24.29890365,30.6407447,34.75505566,36.53300968,38.22097753,41.46271899,44.67618794,48.01323934,51.65447531,53.67579139,55.91149005,61.60077195,65.93710535,72.78726853,78.17727689,34.12294439,38.80597018,40.97174108,41.81976546,42.59194227,44.00950417,45.35791387,46.72506241,48.20401331,49.02839879,49.94964601,52.38235652,54.38772702,58.09637336,62.09229213,32.0141347,36.41850536,38.76466012,39.74677565,40.67493365,42.46911598,44.29373919,46.27343399,48.57815072,49.94355252,51.54369079,56.19136731,60.55815077,70.26381419,84,37.04759845,42.40715996,43.64795377,44.82895126,47.00420953,48.28373699,48.94750987,49.71046155,60.51781651,0.172,0.333,0.3,0.061,0.8678749,beta,16.314040145471562,2.1690206224302053,9.806832384651681,bb2,0
Set 1 SP_EV113,1,0,10000,15.0,60,30,32.5,3.708099244,32.5,3.75,41.49740954,27.71855013,29.87126105,32.52351117,5.791399178,50.18843871,26.01321812,28.39055404,33.55543906,3.264179734,24.14959866,29.43025841,31.21838464,46.83605167,33.37601679,37.90176074,39.26553697,41.49873224,17.35635975,21.88624622,24.82503976,26.09500691,27.30069824,29.61622785,31.91156282,34.29517096,36.8960538,38.33985099,39.93677861,44.00055139,47.09793239,51.99090609,55.84091206,24.3735317,27.71855013,29.26552934,29.87126105,30.4228159,31.43536012,32.39850991,33.37504458,34.43143808,35.02028485,35.67831858,37.41596894,38.84837645,41.49740954,44.35163724,22.86723907,26.01321812,27.68904294,28.39055404,29.05352403,30.33508284,31.63838514,33.05245285,34.69867909,35.67396608,36.81692199,40.13669094,43.25582198,50.18843871,60,26.82316846,30.72366773,31.68461633,32.55897692,34.22405578,35.17796522,35.70418241,36.29351165,43.98577204,0.172,0.625,0.55,0.06,1.3591275,beta,15.639006176439834,3.0509652758505763,9.690250200324494,bb2,0
Set 1 SP_EV114,1,0,10000,18.0,72,36,39.0,4.168333,39.0,4.5,49.79689145,33.26226015,35.84551326,39.02821341,6.949679013,60.22612645,31.21586174,34.06866484,42.03771544,3.512503375,30.7513448,37.56150419,39.58951488,54.64333354,41.9225883,46.65342802,48.00101714,50.66104381,20.8276317,26.26349546,29.79004771,31.31400829,32.76083789,35.53947342,38.29387538,41.15420515,44.27526456,46.00782119,47.92413433,52.80066167,56.51751887,62.38908731,67.00909447,29.24823805,33.26226015,35.11863521,35.84551326,36.50737909,37.72243214,38.87821189,40.05005349,41.31772569,42.02434182,42.81398229,44.89916273,46.61805174,49.79689145,53.22196468,27.44068689,31.21586174,33.22685153,34.06866484,34.86422884,36.40209941,37.96606216,39.66294342,41.63841491,42.8087593,44.18030639,48.16402912,51.90698638,60.22612645,72,34.5425769,38.98185205,40.10739516,41.02167505,42.82159589,43.84326405,44.34884805,45.00371455,53.1404409,0.172,0.2,0.35,0.232,6.8341088,beta,16.658617939869785,6.750733095900007,12.225831378534233,bb2,0
Set 1 SP_EV115,1,0,10000,26.0,104,52,56.33333333,5.419870847,56.33333333,6.5,71.9288432,48.04548688,51.77685248,56.37408604,10.03842524,86.99329376,45.08957807,49.21029366,56.26862149,5.391153977,38.34795266,49.34086836,52.60960791,77.93341221,56.11631595,63.25849607,65.4381862,69.4769237,30.08435691,37.93616011,43.03006892,45.23134531,47.32121028,51.33479494,55.31337555,59.444963,63.95315991,66.45574172,69.22374959,76.26762241,81.63641615,90.11757056,96.79091424,42.24745495,48.04548688,50.72691753,51.77685248,52.7328809,54.48795754,56.15741718,57.85007726,59.68115933,60.70182707,61.84241887,64.85434616,67.33718584,71.9288432,76.87617121,39.63654773,45.08957807,47.9943411,49.21029366,50.35944166,52.58081026,54.83986757,57.29091827,60.14437709,61.83487455,63.81599812,69.57026429,74.9767581,86.99329376,104,44.50330871,51.6946111,53.35940986,54.7375497,57.49172713,59.0220171,59.7994811,60.73496958,73.38917951,0.172,0.667,0.35,0.047,1.0042619,beta,16.60247132707145,2.1086805624394684,9.814129549064798,bb2,0
Set 1 SP_EV116,1,0,10000,13.5,54,27,29.25,3.34477204,29.25,3.375,37.34766859,24.94669511,26.88413494,29.27116006,5.21225926,45.16959484,23.4118963,25.55149863,29.94082002,3.139161517,19.65254976,25.91325544,27.72776129,41.56512409,29.90419415,34.06276055,35.22946114,37.39650863,15.62072378,19.69762159,22.34253578,23.48550622,24.57062841,26.65460507,28.72040653,30.86565386,33.20644842,34.50586589,35.94310075,39.60049625,42.38813916,46.79181548,50.25682085,21.93617853,24.94669511,26.33897641,26.88413494,27.38053431,28.29182411,29.15865892,30.03754012,30.98829427,31.51825636,32.11048672,33.67437205,34.9635388,37.34766859,39.91647351,20.58051517,23.4118963,24.92013865,25.55149863,26.14817163,27.30157456,28.47454662,29.74720757,31.22881118,32.10656948,33.13522979,36.12302184,38.93023978,45.16959484,54,23.1123591,27.22363445,28.22669435,29.07008687,30.69161697,31.57660651,32.03462826,32.59064388,39.56023015,0.172,0.633,0.35,0.049,1.0180459,beta,15.154608727051423,2.218980364892656,9.00393641356029,bb2,0
Set 1 SP_EV117,1,0,10000,15.0,60,30,32.5,3.674234614,32.5,3.75,41.49740954,27.71855013,29.87126105,32.52351117,5.791399178,50.18843871,26.01321812,28.39055404,33.27825038,3.424118662,21.90444698,28.93768802,30.8469535,46.30871404,33.16760683,37.77267726,39.0495041,41.5006319,17.35635975,21.88624622,24.82503976,26.09500691,27.30069824,29.61622785,31.91156282,34.29517096,36.8960538,38.33985099,39.93677861,44.00055139,47.09793239,51.99090609,55.84091206,24.3735317,27.71855013,29.26552934,29.87126105,30.4228159,31.43536012,32.39850991,33.37504458,34.43143808,35.02028485,35.67831858,37.41596894,38.84837645,41.49740954,44.35163724,22.86723907,26.01321812,27.68904294,28.39055404,29.05352403,30.33508284,31.63838514,33.05245285,34.69867909,35.67396608,36.81692199,40.13669094,43.25582198,50.18843871,60,25.8400759,30.32189014,31.35592983,32.289463,34.09486004,35.03436987,35.57410226,36.17584889,43.94690526,0.172,0.642,0.4,0.034,1.1496007,beta,15.282939960339073,2.2418363515087063,9.121620204380148,bb2,0
Set 1 SP_EV118,1,0,10000,16.0,64,32,34.66666667,3.674234614,34.66666667,4.0,44.26390351,29.56645347,31.86267845,34.69174525,6.177492456,53.53433462,27.74743266,30.28325764,35.03074649,3.440776463,23.91008639,30.63954172,32.59853902,50.70986179,34.92969345,39.5945143,40.90335663,43.31450704,18.5134504,23.3453293,26.48004241,27.83467404,29.12074479,31.59064304,34.03900034,36.58151569,39.35579072,40.89584106,42.59923052,46.93392149,50.23779455,55.4569665,59.56363953,25.99843382,29.56645347,31.21656463,31.86267845,32.45100363,33.53105079,34.55841057,35.60004755,36.72686728,37.3549705,38.05687315,39.91036687,41.43826821,44.26390351,47.30841305,24.39172168,27.74743266,29.53497914,30.28325764,30.99042563,32.3574217,33.74761081,35.25594971,37.01192436,38.05223049,39.27138346,42.81247033,46.13954345,53.53433462,64,27.82013184,32.04261396,33.06733869,34.02346258,35.82492733,36.80267527,37.32139078,37.90811542,45.51001003,0.172,0.408,0.25,0.079,1.5859911,beta,16.14273164702619,1.9216615675364561,9.60770149366934,bb2,0
Set 1 SP_EV119,1,0,10000,21.0,84,42,45.5,4.609772229,45.5,5.25,58.09637336,38.80597018,41.81976546,45.53291564,8.107958849,70.26381419,36.41850536,39.74677565,45.88693341,4.457773139,31.79361853,40.25485635,42.76159644,63.61078455,45.71598244,51.70300338,53.56023055,57.01928349,24.29890365,30.6407447,34.75505566,36.53300968,38.22097753,41.46271899,44.67618794,48.01323934,51.65447531,53.67579139,55.91149005,61.60077195,65.93710535,72.78726853,78.17727689,34.12294439,38.80597018,40.97174108,41.81976546,42.59194227,44.00950417,45.35791387,46.72506241,48.20401331,49.02839879,49.94964601,52.38235652,54.38772702,58.09637336,62.09229213,32.0141347,36.41850536,38.76466012,39.74677565,40.67493365,42.46911598,44.29373919,46.27343399,48.57815072,49.94355252,51.54369079,56.19136731,60.55815077,70.26381419,84,36.67222577,42.0882998,43.40286835,44.54998919,46.87136304,48.12181696,48.81516481,49.64323597,60.39434685,0.172,0.342,0.45,0.202,3.4826452,beta,16.164502402259867,1.891159713985078,9.578042842186438,bb2,0
